n,m,alpha,beta,gamma,block_size_x,block_size_y,copy_time,sec_per_iter,write_time,is_shared_mem,is_block,is_column,is_row
1000,1000,1.000000,0.900000,0.001000,8,8,3.120032,0.994887,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,16,16,3.130176,0.730751,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,32,32,3.131072,0.686110,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,64,64,3.145856,0.106012,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,128,128,2.572256,0.106185,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,256,256,3.290016,0.105833,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,512,512,3.324512,0.106516,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,8,8,10.079424,3.886359,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,16,16,10.124992,2.532194,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,32,32,9.908192,2.497446,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,64,64,11.593344,0.356829,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,128,128,11.421760,0.356755,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,256,256,10.011456,0.356924,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,512,512,9.947200,0.357385,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,8,8,20.337729,8.706102,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,16,16,23.942177,6.312367,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,32,32,24.164160,5.808631,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,64,64,24.053761,0.776450,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,128,128,20.434561,0.777139,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,256,256,20.320896,0.777352,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,512,512,20.328960,0.776923,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,8,8,35.212257,15.429513,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,16,16,34.907040,10.065593,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,32,32,67.173508,9.728609,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,64,64,34.798016,1.351495,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,128,128,35.183998,1.351166,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,256,256,54.866463,1.351284,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,512,512,34.912544,1.351508,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,8,8,85.022751,24.082035,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,16,16,53.706367,17.470863,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,32,32,53.773247,16.105337,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,64,64,53.728481,2.113992,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,128,128,53.993538,2.113631,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,256,256,53.589375,2.114308,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,512,512,71.020958,2.113596,0.000000,0,1,0,0
6000,6000,1.000000,0.900000,0.001000,8,8,90.715103,34.754333,0.000000,0,1,0,0
