n,m,alpha,beta,gamma,block_size_x,block_size_y,copy_time,sec_per_iter,write_time,is_shared_mem,is_block,is_column,is_row
1000,1000,1.000000,0.990000,0.001000,64,64,2.619424,0.106599,0.000000,0,1,0,0
2000,2000,1.000000,0.990000,0.001000,64,64,9.936384,0.357114,0.000000,0,1,0,0
3000,3000,1.000000,0.990000,0.001000,64,64,20.447584,0.777069,0.000000,0,1,0,0
4000,4000,1.000000,0.990000,0.001000,64,64,34.978176,1.351277,0.000000,0,1,0,0
5000,5000,1.000000,0.990000,0.001000,64,64,53.776958,2.114575,0.000000,0,1,0,0
6000,6000,1.000000,0.990000,0.001000,64,64,76.717918,3.034672,0.000000,0,1,0,0
7000,7000,1.000000,0.990000,0.001000,64,64,104.013153,4.130651,0.000000,0,1,0,0
8000,8000,1.000000,0.990000,0.001000,64,64,135.047714,5.366919,0.000000,0,1,0,0
9000,9000,1.000000,0.990000,0.001000,64,64,170.661758,6.810846,0.000000,0,1,0,0
10000,10000,1.000000,0.990000,0.001000,64,64,209.812225,8.389401,0.000000,0,1,0,0
1000,1000,1.000000,0.928500,0.001000,64,64,2.572992,0.106275,0.000000,0,1,0,0
2000,2000,1.000000,0.928500,0.001000,64,64,9.927584,0.357478,0.000000,0,1,0,0
3000,3000,1.000000,0.928500,0.001000,64,64,20.389185,0.776762,0.000000,0,1,0,0
4000,4000,1.000000,0.928500,0.001000,64,64,35.210079,1.351517,0.000000,0,1,0,0
5000,5000,1.000000,0.928500,0.001000,64,64,53.782368,2.114106,0.000000,0,1,0,0
6000,6000,1.000000,0.928500,0.001000,64,64,76.601982,3.034654,0.000000,0,1,0,0
7000,7000,1.000000,0.928500,0.001000,64,64,103.851135,4.130025,0.000000,0,1,0,0
8000,8000,1.000000,0.928500,0.001000,64,64,134.940796,5.366158,0.000000,0,1,0,0
9000,9000,1.000000,0.928500,0.001000,64,64,169.953415,6.810423,0.000000,0,1,0,0
10000,10000,1.000000,0.928500,0.001000,64,64,210.339783,8.388849,0.000000,0,1,0,0
1000,1000,1.000000,0.900000,0.001000,64,64,2.582336,0.106184,0.000000,0,1,0,0
2000,2000,1.000000,0.900000,0.001000,64,64,9.976128,0.357649,0.000000,0,1,0,0
3000,3000,1.000000,0.900000,0.001000,64,64,20.354464,0.776610,0.000000,0,1,0,0
4000,4000,1.000000,0.900000,0.001000,64,64,35.119263,1.351214,0.000000,0,1,0,0
5000,5000,1.000000,0.900000,0.001000,64,64,53.544830,2.113748,0.000000,0,1,0,0
6000,6000,1.000000,0.900000,0.001000,64,64,76.493088,3.034797,0.000000,0,1,0,0
7000,7000,1.000000,0.900000,0.001000,64,64,103.542336,4.130469,0.000000,0,1,0,0
8000,8000,1.000000,0.900000,0.001000,64,64,134.975967,5.366024,0.000000,0,1,0,0
9000,9000,1.000000,0.900000,0.001000,64,64,170.521408,6.811098,0.000000,0,1,0,0
10000,10000,1.000000,0.900000,0.001000,64,64,208.699387,8.388950,0.000000,0,1,0,0
